ms_path,base_name,year,start_freq,end_freq,bandwidth,size,uv_sub_path,build_concat_all,tclean_all,build_concat_epoch,tclean_epoch
/home/00103780/dlg/MeasurementSets/Split/11feb50743256450.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,960,964,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_326_0-0-1/11feb50743256450.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/888fee86022f3206.ms,/home/00103780/dlg/MeasurementSets/tclean_all/801e2a4980ecf63f.ms,,
/home/00103780/dlg/MeasurementSets/Split/24219edb9f063a6a.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,952,956,4,0.048,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_327_0-0-2/24219edb9f063a6a.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/7fe33f0174495201.ms,/home/00103780/dlg/MeasurementSets/tclean_all/15f1cc7c1b2afe0b.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/94aee46bba448824.ms
/home/00103780/dlg/MeasurementSets/Split/02a3a96c0b360415.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,960,964,4,0.042,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_328_0-0-3/02a3a96c0b360415.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/888fee86022f3206.ms,/home/00103780/dlg/MeasurementSets/tclean_all/801e2a4980ecf63f.ms,,
/home/00103780/dlg/MeasurementSets/Split/e255ab12bfb6856e.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,956,960,4,0.045,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_329_0-0-4/e255ab12bfb6856e.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/012ff1d7e887848b.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8968fc0224b32a64.ms,,
/home/00103780/dlg/MeasurementSets/Split/09b5e594d65dc54b.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,956,960,4,0.048,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_330_0-0-5/09b5e594d65dc54b.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/012ff1d7e887848b.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8968fc0224b32a64.ms,,
/home/00103780/dlg/MeasurementSets/Split/29e87dcc38d5461c.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,964,968,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_331_0-0-6/29e87dcc38d5461c.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/88a65251c002bffe.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3a0066191619bd13.ms,,
/home/00103780/dlg/MeasurementSets/Split/ad6d4d1fc1a362a9.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,956,960,4,0.047,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_332_0-0-7/ad6d4d1fc1a362a9.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/012ff1d7e887848b.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8968fc0224b32a64.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/1770d602c1334c9b.ms
/home/00103780/dlg/MeasurementSets/Split/672b40602293067b.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,968,972,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_333_0-0-8/672b40602293067b.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/0fe8b5ed1c983794.ms,/home/00103780/dlg/MeasurementSets/tclean_all/cbae39a5c73ddfc7.ms,,
/home/00103780/dlg/MeasurementSets/Split/e70227ac32962c2c.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,964,968,4,0.042,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_334_0-0-9/e70227ac32962c2c.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/88a65251c002bffe.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3a0066191619bd13.ms,,
/home/00103780/dlg/MeasurementSets/Split/a48f187b1f847cf5.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,960,964,4,0.045,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_335_0-0-10/a48f187b1f847cf5.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/888fee86022f3206.ms,/home/00103780/dlg/MeasurementSets/tclean_all/801e2a4980ecf63f.ms,,
